app_id,app,category,confidence,classifier_version,provider,sample_group,verification_status,evidence_count,application_type,application_type_status,authentication,authentication_status,credential_access,credential_access_status,api_exists,api_exists_status,api_types,api_types_status,api_breadth,api_breadth_status,mcp,mcp_status,webhook_support,webhook_support_status,rate_limit_info,rate_limit_info_status,buildability,buildability_status,blocker,blocker_status
adobe-acrobat-sign,Adobe Acrobat Sign,storage-and-documents,high,v2,corpus,,not_selected,4,saas_application,resolved,bearer_token|oauth2,resolved,enterprise,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,enterprise_only,resolved
airtable,Airtable,productivity-and-collaboration,high,v2,corpus,,not_selected,5,saas_application,resolved,oauth2|pat,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
amplitude,Amplitude,marketing-and-analytics,high,v2,corpus,B,verified,4,saas_application,resolved,api_key|basic_auth,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,no_events,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
anthropic,Anthropic,ai-and-data,high,v2,corpus,B,corrected,5,api_platform,resolved,api_key,resolved,self_serve_paid,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,polling_only,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
apollo-io,Apollo.io,crm-and-sales,high,v2,corpus,B,verified,4,saas_application,resolved,api_key,resolved,self_serve_paid,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
asana,Asana,productivity-and-collaboration,high,v2,corpus,,not_selected,5,saas_application,resolved,oauth2|pat,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
ashby,Ashby,hr-and-recruiting,high,v2,corpus,B,corrected,4,saas_application,resolved,api_key|basic_auth,resolved,contact_sales,resolved,true,resolved,rest,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
attio,Attio,crm-and-sales,high,v2,corpus,,not_selected,5,saas_application,resolved,api_key|oauth2,resolved,self_serve_free,resolved,true,resolved,rest,resolved,very_broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
bamboohr,BambooHR,hr-and-recruiting,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|basic_auth,resolved,self_serve_paid,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_qualitative,resolved,buildable_with_friction,resolved,paid_access,resolved
bitbucket,Bitbucket,developer-tools,high,v2,corpus,,not_selected,5,saas_application,resolved,basic_auth|oauth2|pat,resolved,self_serve_free,resolved,true,resolved,rest,resolved,very_broad,resolved,unavailable,unavailable,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
box,Box,storage-and-documents,high,v2,corpus,,not_selected,5,saas_application,resolved,bearer_token|oauth2|service_account,resolved,self_serve_free,resolved,true,resolved,cli|rest|sdk,resolved,very_broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
braze,Braze,marketing-and-analytics,high,v2,corpus,A,corrected,4,saas_application,resolved,api_key|bearer_token,resolved,enterprise,resolved,true,resolved,rest,resolved,very_broad,resolved,not_found,not_found,event_streaming,resolved,documented_quantitative,resolved,blocked,resolved,enterprise_only,resolved
brex,Brex,finance-and-payments,high,v2,corpus,,not_selected,4,saas_application,resolved,bearer_token|oauth2,resolved,contact_sales,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,enforced_but_undisclosed,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
buffer,Buffer,marketing-and-analytics,high,v2,corpus,B,verified,3,saas_application,resolved,oauth2,resolved,admin_approval,resolved,true,resolved,rest,resolved,narrow,resolved,not_found,not_found,not_found,not_found,documented_qualitative,resolved,buildable_with_friction,resolved,admin_approval|insufficient_api_surface,resolved
circleci,CircleCI,developer-tools,high,v2,corpus,,not_selected,5,saas_application,resolved,api_key,resolved,self_serve_free,resolved,true,resolved,cli|rest,resolved,broad,resolved,official,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
clickup,ClickUp,productivity-and-collaboration,high,v2,corpus,B,verified,5,saas_application,resolved,oauth2|pat,resolved,self_serve_free,resolved,true,resolved,rest,resolved,very_broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
close,Close,crm-and-sales,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|oauth2,resolved,self_serve_paid,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
coda,Coda,productivity-and-collaboration,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|bearer_token,resolved,self_serve_free,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,polling_only,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
confluence,Confluence,productivity-and-collaboration,high,v2,corpus,A,corrected,5,saas_application,resolved,basic_auth|oauth2|pat,resolved,self_serve_free,resolved,true,resolved,rest,resolved,broad,resolved,official,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
copper,Copper,crm-and-sales,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key,resolved,self_serve_paid,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
crisp,Crisp,support-and-ticketing,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|basic_auth,resolved,self_serve_free,resolved,true,resolved,rest|sdk|webhooks,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
